CATEGORIA,CIDADE_ESTABELECIMENTO,COD_CATEGORIA,COD_ESTABELECIMENTO,COD_MCC,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_ESTABELECIMENTO,NOME_MCC,PREDICT,TRANSACAO_COM_CHIP,Unnamed: 0
FarmÃƒÂ¡cia,MOGI GUACU,3.0,1028165916,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA FAMILIAR 007,DROGARIA FAMILIAR 007 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,9069512978,5122.0,16.0,5122.0,FARMACIAS E FARMACEUTICOS (MANIPULACAO),DROGARIA CENTRAL NO,DROGARIA CENTRAL NO FARMACIAS E FARMACEUTICOS (MANIPULACAO),,S,
FarmÃƒÂ¡cia,24SARLAT LA C,3.0,"5,14E+13",7399.0,1.0,7399.0,ASSISTENCIA TECNICA - OUTROS,PHARMACIE SALAMA8375956,PHARMACIE SALAMA8375956 ASSISTENCIA TECNICA - OUTROS,,S,
FarmÃƒÂ¡cia,SAO JOAO DE M,3.0,2402700,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,DROGA EPPU'S,DROGA EPPU'S DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAN FRANCISCO,3.0,"4,45E+12",5912.0,19.0,5912.0,DROGARIAS E FARMACIAS,CVS/PHARMACY #10391,CVS/PHARMACY #10391 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO LOURENCO,3.0,41462610,5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA CARIOCA LTDA,DROGARIA CARIOCA LTDA DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,JUNDIAI,3.0,1003362807,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,FARMAVIDA FILIAL 2,FARMAVIDA FILIAL 2 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO LUIS,3.0,1103645037,5912.0,6.0,5912.0,DROGARIAS E FARMACIAS,2661 DROGASIL,2661 DROGASIL DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CAMARAGIBE,3.0,34675701,5912.0,6.0,5912.0,DROGARIAS E FARMACIAS,CRIS FARMA,CRIS FARMA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,FLORIANOPOLIS,3.0,28141638,5912.0,5.0,5912.0,DROGARIAS E FARMACIAS,DB FARMA GUI 0138,DB FARMA GUI 0138 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,FOZ DO IGUACU,3.0,5343267,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA CAICARA,FARMACIA CAICARA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,"1,14E+14",5912.0,4.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA FARMARCELLINO,DROGARIA FARMARCELLINO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,BELEM,3.0,1012373018,5122.0,7.0,5122.0,FARMACIAS E FARMACEUTICOS (MANIPULACAO),EXTRAFARMA T RODOVIARI,EXTRAFARMA T RODOVIARI FARMACIAS E FARMACEUTICOS (MANIPULACAO),,N,
FarmÃƒÂ¡cia,BARILOCHE,3.0,9905843066,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA LOS ANDES,FARMACIA LOS ANDES DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,AMALFI,3.0,1179566,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA DEL CERVO,FARMACIA DEL CERVO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,9914588819,5912.0,613.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA PACHECO 002,DROGARIA PACHECO 002 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,PETROLINA,3.0,1096238885,5912.0,7.0,5912.0,DROGARIAS E FARMACIAS,EXTRAFARMA AV INTEGRAC,EXTRAFARMA AV INTEGRAC DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,GOIANIA,3.0,43672540,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGA POPI,DROGA POPI DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,SAN ANTONIO,3.0,"4,45E+12",5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,CVSPHARMACY #7808 Q03,CVSPHARMACY #7808 Q03 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,NATAL,3.0,19631712,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA ALIANCA LOJA,DROGARIA ALIANCA LOJA DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,SPLIT,3.0,11032290060,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA SPLIT HRVOJ,FARMACIA SPLIT HRVOJ DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,UBA,3.0,1084672046,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA CARINHO II,DROGARIA CARINHO II DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,1171372,5912.0,103.0,5912.0,DROGARIAS E FARMACIAS,FARMAX,FARMAX DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CABO FRIO,3.0,1057638517,5977.0,23.0,5977.0,PERFUMARIAS E TOUCADORES,A ROSA DE SOUZA FARMAC,A ROSA DE SOUZA FARMAC PERFUMARIAS E TOUCADORES,,S,
FarmÃƒÂ¡cia,LUMINARIAS,3.0,1048663164,5122.0,6.0,5122.0,FARMACIAS E FARMACEUTICOS (MANIPULACAO),DROGARIA RIO GRANDE,DROGARIA RIO GRANDE FARMACIAS E FARMACEUTICOS (MANIPULACAO),,N,
FarmÃƒÂ¡cia,SAO PAULO,3.0,37234137,5912.0,15.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA SAO PAULO 256,DROGARIA SAO PAULO 256 DROGARIAS E FARMACIAS,,S,
hotel,ROSES,0.0,9568610281,7011.0,1.0,7011.0,"HOTEIS, POUSADAS, ETC",HOSTAL ROM/HOTEL CARMEN,"HOSTAL ROM/HOTEL CARMEN HOTEIS, POUSADAS, ETC",,N,
FarmÃƒÂ¡cia,SAO PAULO,3.0,1000817110,5912.0,6.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA N ESPERANCA,DROGARIA N ESPERANCA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,NOVA IGUACU,3.0,1021776510,5912.0,46.0,5912.0,DROGARIAS E FARMACIAS,SOL E VIDA M DROGARIA,SOL E VIDA M DROGARIA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,BELFORD ROXO,3.0,8724720586,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA NOSSA VI,DROGARIA NOSSA VI DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,LISBOA,3.0,3004363,5912.0,11.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA F P MELO,FARMACIA F P MELO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,MOGI MIRIM,3.0,"1,02E+14",5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA DO MARQUINHO,DROGARIA DO MARQUINHO DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,RIBEIRAO PRET,3.0,1042975148,5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,DUFARMA,DUFARMA DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,CASIMIRO DE A,3.0,8678792391,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,M J D SILVA DROGARIA ME,M J D SILVA DROGARIA ME DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,PARIS10,3.0,"5,08E+13",5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,PHARMACIE CONSEI2047530,PHARMACIE CONSEI2047530 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,WORCESTER,3.0,1288356,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,QUENETS PHARMACY/APT,QUENETS PHARMACY/APT DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,MARATAIZES,3.0,1012681243,5912.0,5.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA MARCUS GABRIE,DROGARIA MARCUS GABRIE DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,"1,93E+14",5912.0,528.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA HANEMANIANA B,FARMACIA HANEMANIANA B DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,AMERICANA,3.0,26177404,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA DAS ROSAS,DROGARIA DAS ROSAS DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,75PARIS 18,3.0,"7,52E+13",5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,PHARMACIE PORTE 4534484,PHARMACIE PORTE 4534484 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,VILA VELHA,3.0,19209394,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA UNIPHARMA,FARMACIA UNIPHARMA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CAUCAIA,3.0,11539313,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA DROGAJAST,FARMACIA DROGAJAST DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,LISBOA,3.0,3032271,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA ALBANO,FARMACIA ALBANO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO PAULO,3.0,9917053951,5912.0,5.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA S PAULO 93,DROGARIA S PAULO 93 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO CAETANO,3.0,9076218528,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,RAIA DROGASIL 379,RAIA DROGASIL 379 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,ITURAMA,3.0,54364248,5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,DROGARIAS VIP,DROGARIAS VIP DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CARIACICA,3.0,100-7002901671,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA GLOBO LTDA ME,DROGARIA GLOBO LTDA ME DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,MANAUS,3.0,421600,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA HADMA,DROGARIA HADMA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,NOVA IGUACU,3.0,8674586482,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA RJ DO MII LTDA,DROGARIA RJ DO MII LTDA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RECIFE,3.0,8670445220,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,RECIFARMA COMERCIO DE PRO,RECIFARMA COMERCIO DE PRO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,1040251509,5912.0,9664.0,5912.0,DROGARIAS E FARMACIAS,DROGA RAIA F132,DROGA RAIA F132 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,8670200625,5912.0,181.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA GODINHO CENTER L,DROGARIA GODINHO CENTER L DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,NEW YORK,3.0,"4,45E+12",5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,CVS/PHARMACY #10530,CVS/PHARMACY #10530 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CURITIBA,3.0,52177165,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACAIA A & C,FARMACAIA A & C DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,BRASILIA,3.0,338117,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA DROGA LAR,DROGARIA DROGA LAR DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,IBIA,3.0,1035451430,5912.0,5.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA RODRIGUES,FARMACIA RODRIGUES DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,COSTA MESA,3.0,"3,73E+11",5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,SUNGLASS HUT 4378,SUNGLASS HUT 4378 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,LISBOA,3.0,3007892,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA AVIS,FARMACIA AVIS DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,AUCKLAND,3.0,61550417,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,AIRPORT OAKS PHARMACY,AIRPORT OAKS PHARMACY DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,CAMPO GRANDE,3.0,26164004,5912.0,5.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA FRENTTINI EIR,DROGARIA FRENTTINI EIR DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO PAULO,3.0,4563740587,5912.0,112.0,5912.0,DROGARIAS E FARMACIAS,DROGASIL 067-SH JD SUL,DROGASIL 067-SH JD SUL DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,DUQUE DE CAXI,3.0,1054577061,5912.0,19.0,5912.0,DROGARIAS E FARMACIAS,DROGAMAXX,DROGAMAXX DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,IBITINGA,3.0,61047228,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGAL IBITINGA II,DROGAL IBITINGA II DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,ATIBAIA,3.0,23787015,5912.0,9.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA SAO PAULO 226,DROGARIA SAO PAULO 226 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,COMENDADOR VE,3.0,31411754,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA LIMA E CARVALH,DROGARIA LIMA E CARVALH DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,ENGENHEIRO PA,3.0,10961836,5912.0,29.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA FRONTIN,DROGARIA FRONTIN DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CAPITAL FEDER,3.0,18678510,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACITY 203,FARMACITY 203 DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,CASCAVEL,3.0,1028580034,5912.0,14.0,5912.0,DROGARIAS E FARMACIAS,DROGARIAS NISSEI CARLO,DROGARIAS NISSEI CARLO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO LUIS,3.0,1002889682,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,EXTRAFARMA TURU,EXTRAFARMA TURU DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIBEIRAO PRET,3.0,11508949,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,GALILLEUS FARMACIA MANI,GALILLEUS FARMACIA MANI DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,PARIS,3.0,"8,31E+13",5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,PHARMACIE RASTRE,PHARMACIE RASTRE DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,2942518,5912.0,67.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA V DE BANGU,FARMACIA V DE BANGU DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,8674805460,5912.0,33.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA COPA 2014 DE CAM,DROGARIA COPA 2014 DE CAM DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,8683371843,5912.0,118.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA GRANDE RIO DA TA,DROGARIA GRANDE RIO DA TA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,GOIANIA,3.0,9917814741,5912.0,7.0,5912.0,DROGARIAS E FARMACIAS,RAIA DROGASIL 420,RAIA DROGASIL 420 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,PARIS,3.0,9491070421,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,PHARMACIE MOZART,PHARMACIE MOZART DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,MOSSORO,3.0,18797938,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA OESTE,DROGARIA OESTE DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,8709923312,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA A LUMINO,FARMACIA A LUMINO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,MILANO,3.0,"4,24E+14",5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA DEL GENTILIN 216,FARMACIA DEL GENTILIN 216 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,PARIS7,3.0,"7,90E+13",5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,PHARMACIE ZANA 2432855,PHARMACIE ZANA 2432855 DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,CURITIBA,3.0,25644998,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,COLOFARMA FARMACIA,COLOFARMA FARMACIA DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,6521479,5912.0,1755.0,5912.0,DROGARIAS E FARMACIAS,CITYFARMA,CITYFARMA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO GONCALO,3.0,8700085772,5912.0,5.0,5912.0,DROGARIAS E FARMACIAS,NOVA DROGARIA ITA,NOVA DROGARIA ITA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,NOVA IGUACU,3.0,9911615839,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,J L IGNES DROGARIA,J L IGNES DROGARIA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SÃƒO LEOPOLDO,3.0,"1,62E+14",5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,AGAFARMA UNISINOS,AGAFARMA UNISINOS DROGARIAS E FARMACIAS,,N,
hotel,AVON,0.0,2060051406,7011.0,1.0,7011.0,"HOTEIS, POUSADAS, ETC",AVON OLD FARMS HOTEL 5939,"AVON OLD FARMS HOTEL 5939 HOTEIS, POUSADAS, ETC",,N,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,1017891475,5912.0,74.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA MAYRINK LTDA,FARMACIA MAYRINK LTDA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,NILOPOLIS,3.0,1061845858,5122.0,21.0,5122.0,FARMACIAS E FARMACEUTICOS (MANIPULACAO),FARMACIA DE M RELANCE,FARMACIA DE M RELANCE FARMACIAS E FARMACEUTICOS (MANIPULACAO),,S,
FarmÃƒÂ¡cia,SAO CAETANO D,3.0,10434,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,PHARMAFORMULA FARMACIA,PHARMAFORMULA FARMACIA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,BELO HORIZONT,3.0,520257,5912.0,28.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA ARAUJO CRISTI,DROGARIA ARAUJO CRISTI DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SANTOS,3.0,749446,5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,ROSA GALICA FARMACIA D,ROSA GALICA FARMACIA D DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,JOAO PESSOA,3.0,56853475,5411.0,4.0,5411.0,SUPERMERCADOS,FARMACIA SBP EPITACIO,FARMACIA SBP EPITACIO SUPERMERCADOS,,S,
FarmÃƒÂ¡cia,OURO PRETO DO,3.0,1014399448,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA E DROGARIA AV,FARMACIA E DROGARIA AV DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CURITIBA,3.0,1030685140,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,DROGARIAS NISSEI 180,DROGARIAS NISSEI 180 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,DUQUE DE CAXI,3.0,32701179,5912.0,21.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA PERMANENCIA D,DROGARIA PERMANENCIA D DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,AUSTIN,3.0,"4,45E+12",5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,CVSPHARMACY #6892 Q03,CVSPHARMACY #6892 Q03 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,CHAPECO,3.0,1057547180,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,CHAPECO 1 LIDER FARMA,CHAPECO 1 LIDER FARMA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SANTANA DO RI,3.0,8535819239,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA CIPO LTDA,DROGARIA CIPO LTDA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO GONCALO,3.0,8731406773,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,ACQUAFARMA MANIPULACOE,ACQUAFARMA MANIPULACOE DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SANTA MARIA,3.0,8719859902,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA SAO JOAO 393,FARMACIA SAO JOAO 393 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,19396217,5912.0,6.0,5912.0,DROGARIAS E FARMACIAS,SPHERA FARMACIA MANIPU,SPHERA FARMACIA MANIPU DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,MAIOBA,3.0,21946760,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA THAIS,FARMACIA THAIS DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,2442906,5912.0,3303.0,5912.0,DROGARIAS E FARMACIAS,DROG PACHECO 58,DROG PACHECO 58 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,BREJINHO,3.0,36051977,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA CENTRAL BRASIL,FARMACIA CENTRAL BRASIL DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,CAP FEDERAL,3.0,14881767,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA SAN ANTONIO 1767,FARMACIA SAN ANTONIO 1767 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,1000467349,5912.0,16.0,5912.0,DROGARIAS E FARMACIAS,AATA DROGARIA,AATA DROGARIA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,MARICA,3.0,8678002031,5912.0,5.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA BR ALCANTARA LTD,DROGARIA BR ALCANTARA LTD DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SALVADOR,3.0,22308601,5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,FARMACIOA DO JARDIM,FARMACIOA DO JARDIM DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,BRASILIA,3.0,66911419,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,DROGA FUJI FILIAL 52,DROGA FUJI FILIAL 52 DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,SAO PAULO,3.0,8688167279,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA SOARES LTDA,DROGARIA SOARES LTDA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,BARUERI,3.0,9073317703,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA DO POSTO OURO,DROGARIA DO POSTO OURO DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO SEBASTIAO,3.0,"8,20E+14",5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA DO CHAIM 2,DROGARIA DO CHAIM 2 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SERRA,3.0,59174374,5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA PRECO BAIXO DE,FARMACIA PRECO BAIXO DE DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,TANGUA,3.0,1016339299,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA PRACA TANGUA,FARMACIA PRACA TANGUA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,PINDAMONHANGA,3.0,1399941,5912.0,2.0,5912.0,DROGARIAS E FARMACIAS,TERAPEUTICA FARMACIA D,TERAPEUTICA FARMACIA D DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,LOS ANGELES,3.0,5049617160,5912.0,6.0,5912.0,DROGARIAS E FARMACIAS,CVS/PHARMACY #05828 00000,CVS/PHARMACY #05828 00000 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,FARO,3.0,129159,5912.0,3.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA ALEXANDRE,FARMACIA ALEXANDRE DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,TRES LAGOAS,3.0,62052578,5912.0,13.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA ODEON LTDA,FARMACIA ODEON LTDA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,MESQUITA,3.0,1014648251,5912.0,22.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA FARONI DE MES,DROGARIA FARONI DE MES DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,HAIFA,3.0,2376041,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,PHARMACY LEV CARMEL,PHARMACY LEV CARMEL DROGARIAS E FARMACIAS,,N,
FarmÃƒÂ¡cia,BOLOGNA,3.0,3764354,5912.0,14.0,5912.0,DROGARIAS E FARMACIAS,FARMACIA SS ANNUNZIATA,FARMACIA SS ANNUNZIATA DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,RIO DE JANEIR,3.0,4564215664,5912.0,1841.0,5912.0,DROGARIAS E FARMACIAS,DROGASMIL - FL 9,DROGASMIL - FL 9 DROGARIAS E FARMACIAS,,S,
FarmÃƒÂ¡cia,SAO GONCALO,3.0,33514,5912.0,9.0,5912.0,DROGARIAS E FARMACIAS,DROGARIA COESA,DROGARIA COESA DROGARIAS E FARMACIAS,,S,
